employee_id,store_id,first_name,last_name,email,job_title,salary,created_timestamp,updated_timestamp,is_active
251,17,James,Smith,james.smith.251@example.com,Retail buyer,51944.44,2027-01-02 21:01:05,2027-01-10 21:01:05,Y
252,15,Michael,Flores,michael.flores.252@example.com,"Physicist, medical",37901.28,2027-01-24 11:35:34,2027-01-31 23:59:59,Y
253,1,Kayla,Allen,kayla.allen.253@example.com,Radio producer,94570.04,2027-01-25 11:13:06,2027-01-31 23:59:59,Y
254,2,Rebecca,Martin,rebecca.martin.254@example.com,"Psychologist, forensic",123773.38,2027-01-07 06:20:30,2027-01-31 23:59:59,Y
255,5,Angel,Foster,angel.foster.255@example.com,Proofreader,139575.4,2027-01-06 11:07:48,2027-01-31 23:59:59,Y
256,20,Dominique,Farmer,dominique.farmer.256@example.com,"Education officer, museum",144383.56,2027-01-15 09:03:48,2027-01-31 23:59:59,Y
257,22,Miguel,Hill,miguel.hill.257@example.com,Hydrographic surveyor,112092.78,2027-01-02 19:52:13,2027-01-31 23:59:59,Y
258,12,Nicholas,Campbell,nicholas.campbell.258@example.com,Paramedic,107444.8,2027-01-11 16:09:58,2027-01-28 16:09:58,Y
259,25,Timothy,Christensen,timothy.christensen.259@example.com,Jewellery designer,103130.29,2027-01-17 03:52:39,2027-01-31 23:59:59,Y
260,9,Nicole,Christian,nicole.christian.260@example.com,Lexicographer,113539.19,2027-01-15 23:28:47,2027-01-31 23:59:59,Y
261,15,Sherry,Johnson,sherry.johnson.261@example.com,"Conservation officer, nature",70303.86,2027-01-06 23:24:48,2027-01-31 23:59:59,Y
262,19,Robert,James,robert.james.262@example.com,Clinical biochemist,34251.95,2027-01-14 15:50:02,2027-01-31 23:59:59,Y
263,13,Robert,Cross,robert.cross.263@example.com,"Education officer, museum",117887.64,2027-01-14 13:49:25,2027-01-31 13:49:25,Y
264,11,Thomas,Murray,thomas.murray.264@example.com,Immunologist,88057.12,2027-01-24 11:47:04,2027-01-31 23:59:59,Y
265,7,Tyler,Davis,tyler.davis.265@example.com,Location manager,81480.39,2027-01-02 20:30:50,2027-01-31 23:59:59,Y
