customer_id,first_name,last_name,email,phone,city,province,country,created_timestamp,updated_timestamp,is_active
2001,Kimberly,Nelson,kimberly.nelson.2001@example.com,+1-837-253-7528x8133,East Andrew,Florida,Canada,2027-01-23 14:47:19,2027-01-25 01:47:19,Y
2002,Kristi,Sullivan,kristi.sullivan.2002@example.com,711-442-3529x790,Mariaborough,Colorado,Canada,2027-01-17 20:52:50,2027-01-19 04:52:50,Y
2003,Thomas,Thompson,thomas.thompson.2003@example.com,853.980.3623,East Ashleyland,Idaho,Canada,2027-01-07 00:30:24,2027-01-08 04:30:24,Y
2004,Thomas,White,thomas.white.2004@example.com,001-735-799-1992,Lake Erika,Utah,Canada,2027-01-14 05:17:25,2027-01-16 09:17:25,Y
2005,Mary,Rice,mary.rice.2005@example.com,001-593-553-7217x8522,Harrisbury,Pennsylvania,Canada,2027-01-06 16:21:37,2027-01-08 02:21:37,Y
2006,Brian,Lane,brian.lane.2006@example.com,(271)783-5109x91210,South Jonathan,North Carolina,Canada,2027-01-18 00:59:24,2027-01-18 18:59:24,Y
2007,Theresa,Hoffman,theresa.hoffman.2007@example.com,001-614-821-5567,Gavinmouth,Colorado,Canada,2027-01-28 11:20:36,2027-01-28 16:20:36,Y
2008,Brian,Brown,brian.brown.2008@example.com,575.499.9163x865,New Chase,Massachusetts,Canada,2027-01-07 07:37:10,2027-01-08 15:37:10,Y
2009,Megan,Maldonado,megan.maldonado.2009@example.com,(672)348-2809,Kathleenfurt,Hawaii,Canada,2027-01-21 00:53:03,2027-01-21 18:53:03,Y
2010,Jessica,Nelson,jessica.nelson.2010@example.com,888-217-8735,Olivermouth,Nevada,Canada,2027-01-30 15:35:40,2027-01-31 23:59:59,Y
2011,Elijah,Sellers,elijah.sellers.2011@example.com,+1-805-825-9727x10485,Oliviachester,Arkansas,Canada,2027-01-12 15:50:33,2027-01-14 13:50:33,Y
2012,Deanna,Alvarado,deanna.alvarado.2012@example.com,8586232197,Juliebury,New Mexico,Canada,2027-01-30 03:38:40,2027-01-30 20:38:40,Y
2013,Megan,Henderson,megan.henderson.2013@example.com,883-657-3278,West Ronaldton,Virginia,Canada,2027-01-26 16:27:23,2027-01-27 20:27:23,Y
2014,Elizabeth,Miller,elizabeth.miller.2014@example.com,3019830726,South Denisemouth,Pennsylvania,Canada,2027-01-23 07:12:45,2027-01-26 06:12:45,Y
2015,Laura,James,laura.james.2015@example.com,873.537.4726x19458,West Maryview,New Hampshire,Canada,2027-01-12 05:04:56,2027-01-13 09:04:56,Y
2016,James,Grimes,james.grimes.2016@example.com,685.438.3190x24240,Castrostad,Vermont,Canada,2027-01-22 09:53:43,2027-01-22 22:53:43,Y
2017,Nicole,Jones,nicole.jones.2017@example.com,791.207.0500x4339,Lake Christopher,Alaska,Canada,2027-01-31 05:27:08,2027-01-31 20:27:08,Y
2018,David,Sparks,david.sparks.2018@example.com,362.481.9251x258,Lake Cameronfurt,Alabama,Canada,2027-01-17 10:53:48,2027-01-20 10:53:48,Y
2019,Joseph,Morgan,joseph.morgan.2019@example.com,980-626-8173,Browningfort,New York,Canada,2027-01-05 14:17:33,2027-01-06 23:17:33,Y
2020,Laura,Miller,laura.miller.2020@example.com,242.456.1632x219,Port Alice,Indiana,Canada,2027-01-18 10:34:09,2027-01-20 16:34:09,Y
2021,Robert,Weaver,robert.weaver.2021@example.com,+1-813-671-2687,South Kimberlyport,New Hampshire,Canada,2027-01-03 23:54:12,2027-01-06 10:54:12,Y
2022,Brittany,Turner,brittany.turner.2022@example.com,(906)846-3110x81392,Ericahaven,Oregon,Canada,2027-01-05 22:27:12,2027-01-07 23:27:12,Y
2023,Lisa,Nelson,lisa.nelson.2023@example.com,761.395.2096,Lindaton,Virginia,Canada,2027-01-10 00:06:05,2027-01-10 17:06:05,Y
2024,Robin,Wade,robin.wade.2024@example.com,308.932.8447,Port Shirley,South Dakota,Canada,2027-01-15 05:46:49,2027-01-17 22:46:49,Y
2025,Christopher,Graves,christopher.graves.2025@example.com,549-862-4713x4012,East Williamborough,Oklahoma,Canada,2027-01-29 07:44:07,2027-01-30 17:44:07,Y
2026,John,Mueller,john.mueller.2026@example.com,645-920-8618,Lake Katelyn,Arizona,Canada,2027-01-28 00:16:06,2027-01-30 21:16:06,Y
2027,Christopher,Hughes,christopher.hughes.2027@example.com,+1-596-636-5951,Burtonview,Oregon,Canada,2027-01-23 19:57:35,2027-01-25 01:57:35,Y
2028,Natasha,Shelton,natasha.shelton.2028@example.com,(346)775-6352x9348,Port Luke,Illinois,Canada,2027-01-02 13:59:27,2027-01-04 09:59:27,Y
2029,Juan,Elliott,juan.elliott.2029@example.com,001-739-961-6950,North Miranda,Nebraska,Canada,2027-01-09 21:26:55,2027-01-12 12:26:55,Y
2030,Matthew,Cisneros,matthew.cisneros.2030@example.com,962.799.0790x0317,Jenniferville,Minnesota,Canada,2027-01-19 02:24:54,2027-01-21 08:24:54,Y
